1,Amirah,Ahmad,cscie12cscie151project+AmirahAhmad@gmail.com,4
2,Beatrice,Belanger,cscie12cscie151project+BeatriceBelanger@gmail.com,13
3,Bilal,Bhatti,cscie12cscie151project+BilalBhatti@gmail.com,36
4,Calvin,Carter,cscie12cscie151project+CalvinCarter@gmail.com,21
5,Chandan,Chakrabarti,cscie12cscie151project+ChandanChakrabarti@gmail.com,2
6,Chang,Chen,cscie12cscie151project+ChangChen@gmail.com,35
7,Chandra,Choudhury,cscie12cscie151project+ChandraChoudhury@gmail.com,45
8,Dahlia,Das,cscie12cscie151project+DahliaDas@gmail.com,13
9,Daniel,Davis,cscie12cscie151project+DanielDavis@gmail.com,13
10,Diego,Dominguez,cscie12cscie151project+DiegoDominguez@gmail.com,35
11,Damien,Dupont,cscie12cscie151project+DamienDupont@gmail.com,3
12,Elara,Eklund,cscie12cscie151project+ElaraEklund@gmail.com,13
13,Efe,Ekundayo,cscie12cscie151project+EfeEkundayo@gmail.com,43
14,Elara,Ekwueme,cscie12cscie151project+ElaraEkwueme@gmail.com,1
15,Farid,Fawzi,cscie12cscie151project+FaridFawzi@gmail.com,12
16,Feng,Fei,cscie12cscie151project+FengFei@gmail.com,11
17,Finn,Fischer,cscie12cscie151project+FinnFischer@gmail.com,34
18,Gianna,Gallo,cscie12cscie151project+GiannaGallo@gmail.com,20
19,Giselle,Gomez,cscie12cscie151project+GiselleGomez@gmail.com,36
20,Gita,Gopalan,cscie12cscie151project+GitaGopalan@gmail.com,14
21,Hikari,Hara,cscie12cscie151project+HikariHara@gmail.com,10
22,Hadi,Hasanov,cscie12cscie151project+HadiHasanov@gmail.com,44
23,Hiroto,Hashimoto,cscie12cscie151project+HirotoHashimoto@gmail.com,33
24,Hafsa,Hassan,cscie12cscie151project+HafsaHassan@gmail.com,4
25,Henry,Hill,cscie12cscie151project+HenryHill@gmail.com,15
26,Ismail,Ibrahim,cscie12cscie151project+IsmailIbrahim@gmail.com,21
27,Isaac,Ingle,cscie12cscie151project+IsaacIngle@gmail.com,10
28,Ishaan,Iqbal,cscie12cscie151project+IshaanIqbal@gmail.com,38
29,Indira,Iyer,cscie12cscie151project+IndiraIyer@gmail.com,16
30,Jamal,Jafari,cscie12cscie151project+JamalJafari@gmail.com,32
31,Julia,Jensen,cscie12cscie151project+JuliaJensen@gmail.com,22
32,Jia,Jiang,cscie12cscie151project+JiaJiang@gmail.com,11
33,Jade,Johnson,cscie12cscie151project+JadeJohnson@gmail.com,39
34,Jaya,Joshi,cscie12cscie151project+JayaJoshi@gmail.com,16
35,Kai,Kang,cscie12cscie151project+KaiKang@gmail.com,37
36,Kamal,Khan,cscie12cscie151project+KamalKhan@gmail.com,3
37,Kiera,Kowalski,cscie12cscie151project+KieraKowalski@gmail.com,10
38,Kali,Kumar,cscie12cscie151project+KaliKumar@gmail.com,31
39,Leo,Larson,cscie12cscie151project+LeoLarson@gmail.com,19
40,Leila,Lavoie,cscie12cscie151project+LeilaLavoie@gmail.com,18
41,Luna,Leblanc,cscie12cscie151project+LunaLeblanc@gmail.com,23
42,Laila,Lutfi,cscie12cscie151project+LailaLutfi@gmail.com,4
43,Mina,Maeda,cscie12cscie151project+MinaMaeda@gmail.com,29
44,Maria,Martinez,cscie12cscie151project+MariaMartinez@gmail.com,41
45,Mira,Mishra,cscie12cscie151project+MiraMishra@gmail.com,5
46,Naoki,Nagata,cscie12cscie151project+NaokiNagata@gmail.com,9
47,Nisha,Naidu,cscie12cscie151project+NishaNaidu@gmail.com,31
48,Naveen,Nair,cscie12cscie151project+NaveenNair@gmail.com,40
49,Nyla,Naqvi,cscie12cscie151project+NylaNaqvi@gmail.com,42
50,Noah,Nelson,cscie12cscie151project+NoahNelson@gmail.com,21
51,Osamu,Okada,cscie12cscie151project+OsamuOkada@gmail.com,42
52,Ophelia,Oliveira,cscie12cscie151project+OpheliaOliveira@gmail.com,18
53,Oskar,Olsen,cscie12cscie151project+OskarOlsen@gmail.com,19
54,Omar,Ortega,cscie12cscie151project+OmarOrtega@gmail.com,8
55,Osman,Ozdemir,cscie12cscie151project+OsmanOzdemir@gmail.com,31
56,Peter,Parker,cscie12cscie151project+PeterParker@gmail.com,28
57,Priya,Prakash,cscie12cscie151project+PriyaPrakash@gmail.com,30
58,Qamar,Qazi,cscie12cscie151project+QamarQazi@gmail.com,16
59,Quentin,Queen,cscie12cscie151project+QuentinQueen@gmail.com,23
60,Rafaela,Ramos,cscie12cscie151project+RafaelaRamos@gmail.com,41
61,Rachel,Rivers,cscie12cscie151project+RachelRivers@gmail.com,6
62,Sana,Sarwar,cscie12cscie151project+SanaSarwar@gmail.com,42
63,Samuel,Scott,cscie12cscie151project+SamuelScott@gmail.com,24
64,Sameer,Singh,cscie12cscie151project+SameerSingh@gmail.com,8
65,Tariq,Taheri,cscie12cscie151project+TariqTaheri@gmail.com,26
66,Tao,Tan,cscie12cscie151project+TaoTan@gmail.com,27
67,Tariq,Tareen,cscie12cscie151project+TariqTareen@gmail.com,17
68,Tabitha,Turner,cscie12cscie151project+TabithaTurner@gmail.com,18
69,Ursula,Underwood,cscie12cscie151project+UrsulaUnderwood@gmail.com,7
70,Valentina,Vargas,cscie12cscie151project+ValentinaVargas@gmail.com,41
71,Willow,Walker,cscie12cscie151project+WillowWalker@gmail.com,7
72,Xavier,Xander,cscie12cscie151project+XavierXander@gmail.com,30
73,Xia,Xiang,cscie12cscie151project+XiaXiang@gmail.com,27
74,Yoko,Yamamoto,cscie12cscie151project+YokoYamamoto@gmail.com,24
75,Yvonne,Young,cscie12cscie151project+YvonneYoung@gmail.com,8
76,Zachary,Zimmerman,cscie12cscie151project+ZacharyZimmerman@gmail.com,25
