1,Skyler,Quinn,cscie12cscie151project+SkylerQuinn@gmail.com
2,Penelope,Payne,cscie12cscie151project+PenelopePayne@gmail.com
3,Adeline,Mckay,cscie12cscie151project+AdelineMckay@gmail.com
4,Allan,Xiong,cscie12cscie151project+AllanXiong@gmail.com
5,Kayla,Portillo,cscie12cscie151project+KaylaPortillo@gmail.com
6,Perry,Wade,cscie12cscie151project+PerryWade@gmail.com
7,Andy,Person,cscie12cscie151project+AndyPerson@gmail.com
8,Brad,Ho,cscie12cscie151project+BradHo@gmail.com
9,Misty,Andersen,cscie12cscie151project+MistyAndersen@gmail.com
10,Amanda,Johnson,cscie12cscie151project+AmandaJohnson@gmail.com
11,Ella,West,cscie12cscie151project+EllaWest@gmail.com
12,Sierra,Tanner,cscie12cscie151project+SierraTanner@gmail.com
13,Cora,Walters,cscie12cscie151project+CoraWalters@gmail.com
14,Loretta,Blanchard,cscie12cscie151project+LorettaBlanchard@gmail.com
15,Addison,Gray,cscie12cscie151project+AddisonGray@gmail.com
16,Monique,Mccann,cscie12cscie151project+MoniqueMccann@gmail.com
17,Claire,Maddox,cscie12cscie151project+ClaireMaddox@gmail.com
18,Alyssa,Enriquez,cscie12cscie151project+AlyssaEnriquez@gmail.com
19,Amir,Bentley,cscie12cscie151project+AmirBentley@gmail.com
20,Neil,Vaughn,cscie12cscie151project+NeilVaughn@gmail.com
21,Eleanor,Gould,cscie12cscie151project+EleanorGould@gmail.com
22,Antoinette,Solomon,cscie12cscie151project+AntoinetteSolomon@gmail.com
23,Colin,Elliott,cscie12cscie151project+ColinElliott@gmail.com
24,Carla,Griffith,cscie12cscie151project+CarlaGriffith@gmail.com
25,Lynne,Wood,cscie12cscie151project+LynneWood@gmail.com
26,Marco,Russell,cscie12cscie151project+MarcoRussell@gmail.com
27,Isaac,Kemp,cscie12cscie151project+IsaacKemp@gmail.com
28,June,Lara,cscie12cscie151project+JuneLara@gmail.com
29,Gretchen,Pratt,cscie12cscie151project+GretchenPratt@gmail.com
30,Shelley,Randall,cscie12cscie151project+ShelleyRandall@gmail.com
31,Howard,Ryan,cscie12cscie151project+HowardRyan@gmail.com
32,Faith,Cisneros,cscie12cscie151project+FaithCisneros@gmail.com
33,Franklin,Harrison,cscie12cscie151project+FranklinHarrison@gmail.com
34,Tristan,Cross,cscie12cscie151project+TristanCross@gmail.com
35,Ezra,Castillo,cscie12cscie151project+EzraCastillo@gmail.com
36,Derek,Welch,cscie12cscie151project+DerekWelch@gmail.com
37,Marjorie,Moody,cscie12cscie151project+MarjorieMoody@gmail.com
38,Armando,Price,cscie12cscie151project+ArmandoPrice@gmail.com
39,Isabella,Rasmussen,cscie12cscie151project+IsabellaRasmussen@gmail.com
40,Carolyn,Rios,cscie12cscie151project+CarolynRios@gmail.com
41,Miles,Hahn,cscie12cscie151project+MilesHahn@gmail.com
42,Tracy,Stuart,cscie12cscie151project+TracyStuart@gmail.com
43,Billie,Gilmore,cscie12cscie151project+BillieGilmore@gmail.com
44,Lawrence,Madden,cscie12cscie151project+LawrenceMadden@gmail.com
45,Nicolas,Goodwin,cscie12cscie151project+NicolasGoodwin@gmail.com
46,Dominick,Duncan,cscie12cscie151project+DominickDuncan@gmail.com
47,Josie,Edwards,cscie12cscie151project+JosieEdwards@gmail.com
48,Cheryl,Carrillo,cscie12cscie151project+CherylCarrillo@gmail.com
49,Isaiah,Medina,cscie12cscie151project+IsaiahMedina@gmail.com
50,Jeremy,Dunn,cscie12cscie151project+JeremyDunn@gmail.com
51,Xavier,Barrett,cscie12cscie151project+XavierBarrett@gmail.com
52,Gloria,Bush,cscie12cscie151project+GloriaBush@gmail.com
53,Ricardo,Lambert,cscie12cscie151project+RicardoLambert@gmail.com
54,Paul,Kline,cscie12cscie151project+PaulKline@gmail.com
55,Billy,Snow,cscie12cscie151project+BillySnow@gmail.com
56,Glenda,Chan,cscie12cscie151project+GlendaChan@gmail.com
57,Rylee,Underwood,cscie12cscie151project+RyleeUnderwood@gmail.com
58,Darren,Gonzales,cscie12cscie151project+DarrenGonzales@gmail.com
59,Peyton,Wise,cscie12cscie151project+PeytonWise@gmail.com
60,Gayle,Becker,cscie12cscie151project+GayleBecker@gmail.com
61,Brent,Wilcox,cscie12cscie151project+BrentWilcox@gmail.com
62,Karina,Roberson,cscie12cscie151project+KarinaRoberson@gmail.com
63,Sarah,Sutton,cscie12cscie151project+SarahSutton@gmail.com
64,Luis,Durham,cscie12cscie151project+LuisDurham@gmail.com
65,Devon,Farley,cscie12cscie151project+DevonFarley@gmail.com
66,Esmeralda,Goodman,cscie12cscie151project+EsmeraldaGoodman@gmail.com
67,Clifford,Ferguson,cscie12cscie151project+CliffordFerguson@gmail.com
68,Rick,Gill,cscie12cscie151project+RickGill@gmail.com
69,Quinn,Zavala,cscie12cscie151project+QuinnZavala@gmail.com
70,Easton,Hayes,cscie12cscie151project+EastonHayes@gmail.com
